Lon,Lat,Clave,Edo,Est,Tmax
-111.56,28.84,SANTAELENAS,SON,Santa Elena Son. REMAS*,24.88387097
-111.43,28.89,CARLITOS,SON,San Carlitos  Son. REMAS*,24.72580645
-111.23,28.9,ABEJAS,SON,Abejas Son. REMAS*,24.17741935
-110.18,28.94,MAZATAN,SON,Mazat·n Son. REMAS*,25.45333333
-111.13,28.96,BACHATA,SON,La Bachata Son. REMAS*,24.67741935
-111.26,28.98,SANTONINO,SON,Santo NiÒo Son. REMAS*,24.78666667
-111.13,29.01,UNISON,SON,Universidad de Sonora Son. SMN*,24.892
-109.22,29.05,SAHUARIPA,SON,Sahuaripa Son. REMAS*,24.29354839
-111.72,29.06,DOLORES,SON,Dolores Jam Son. REMAS*,25.03225806
-110.93,29.08,HERMOSILLOob,SON,Observatorio de Hermosillo Son. SMN*,26.428
-111.56,29.09,GREEN,SON,Green Stripe Son. REMAS*,25.24516129
-109.99,29.12,MATAPE,SON,M·tape Son. REMAS*,23.98387097
-111.76,29.24,CHIPILON,SON,ChipilÛn Son. REMAS*,24.01612903
-110.93,29.39,TRACALITA,SON,Tracalita Son. REMAS*,24.50322581
-110.31,29.44,URES,SON,Ures Son. REMAS*,24.58387097
-109.51,29.52,TEPACHE,SON,Tepache Son. REMAS*,23.52580645
-110.93,29.55,SELVA,SON,Selva Son. REMAS*,24.61935484
-110.14,29.67,BAVIACORA,SON,Bavi·cora Son. REMAS*,23.97096774
-108.97,29.69,NACORI,SON,N·cori Chico Son. REMAS*,22.23548387
-112.06,29.78,SANTAADELA,SON,Santa Adela Son. REMAS*,22.61612903
-110.96,29.91,QUEROBABI,SON,Querobabi Son. REMAS*,23.06451613
-109.3,29.93,HUASABAS,SON,Hu·sabas Son. REMAS*,23.07
-110.21,29.97,BANAMICHI,SON,Ban·michi Son. REMAS*,23.22903226
-111.23,30.05,CARRIZO,SON,El Carrizo Son. REMAS*,22.4516129
-109.79,30.19,CUMPAS,SON,Cumpas Son. REMAS*,24.05666667
-110.72,30.34,LADRILLERA,SON,La Ladrillera Son. REMAS*,22.92333333
-109.68,30.37,PNACOZARIob,SON,Observatorio de Pilares de Nacozari Son. SMN*,19.992
-108.92,30.39,BACERAC,SON,Bacerac Son. REMAS*,20.284
-111.09,30.42,ALAMITOS,SON,Los Alamitos Son. REMAS*,21.76538462
-111.56,30.47,CORRALES,SON,Los Corrales Son. REMAS*,21.99354839
-108.96,30.51,BAVISPE,SON,Bavispe Son. REMAS*,20.48387097
-112.35,30.51,SURCABORACA,SON,Sur Caborca Son. REMAS*,22.14193548
-111.4,30.61,LOMA,SON,La Loma Son. REMAS*,22.06129032
-109.97,30.65,BACOACHI,SON,Bacoachi Son. REMAS*,20.9
-111.83,30.71,ALTARob,SON,Observatorio de Altar Son. SMN*,22.78333333
-112.87,30.74,COSTERO,SON,El Costero Son. REMAS*,21.95333333
-112.44,30.77,CABORCA,SON,Caborca Son. SMN*,22.28709677
-111.21,30.79,ALMAS,SON,Las Palmas Son. REMAS*,22.29354839
