# Local Datetime (mm,dd,yyyy HH,mm),UTC Datetime (mm,dd,yyyy HH,mm),O3 (ppb),PM10 (µg,m3),PM2.5 (µg,m3),Temperature (ºC),Relative humidity (%),Barometric pressure (mBar),Wind speed (m,s),Wind direction (degree)
4,1,20,7,0,4,1,20,13,0,0.006,NaN,13,7.14,74,NaN,NaN,NaN,NaN
4,1,20,8,0,4,1,20,14,0,0.006,NaN,23,6.78,76,NaN,NaN,NaN,NaN
4,1,20,9,0,4,1,20,15,0,0.007,NaN,18,10.75,62,NaN,NaN,NaN,NaN
4,1,20,10,0,4,1,20,16,0,0.016,NaN,24,14.89,46,NaN,NaN,NaN,NaN
4,1,20,11,0,4,1,20,17,0,0.027,NaN,29,17.39,36,NaN,NaN,NaN,NaN
4,1,20,12,0,4,1,20,18,0,0.036,NaN,22,19.24,31,NaN,NaN,NaN,NaN
4,1,20,13,0,4,1,20,19,0,0.037,NaN,17,20.23,28,NaN,NaN,NaN,NaN
4,1,20,14,0,4,1,20,20,0,0.039,NaN,19,21.04,26,NaN,NaN,NaN,NaN
4,1,20,15,0,4,1,20,21,0,0.042,NaN,20,21.53,25,NaN,NaN,NaN,NaN
4,1,20,16,0,4,1,20,22,0,0.045,NaN,14,22.02,25,NaN,NaN,NaN,NaN
4,1,20,17,0,4,1,20,23,0,0.043,NaN,8,22.18,25,NaN,NaN,NaN,NaN
4,1,20,18,0,5,1,20,0,0,0.035,NaN,14,20.88,28,NaN,NaN,NaN,NaN
4,1,20,19,0,5,1,20,1,0,0.02,NaN,19,18.57,35,NaN,NaN,NaN,NaN
4,1,20,20,0,5,1,20,2,0,0.013,NaN,23,16.44,40,NaN,NaN,NaN,NaN
4,1,20,21,0,5,1,20,3,0,0.013,NaN,17,15.09,46,NaN,NaN,NaN,NaN
4,1,20,22,0,5,1,20,4,0,0.009,NaN,27,13.45,54,NaN,NaN,NaN,NaN
4,1,20,23,0,5,1,20,5,0,0.007,NaN,NaN,11.93,63,NaN,NaN,NaN,NaN
5,1,20,0,0,5,1,20,6,0,0.006,NaN,66,10.93,65,NaN,NaN,NaN,NaN
5,1,20,1,0,5,1,20,7,0,0.014,NaN,NaN,10.64,62,NaN,NaN,NaN,NaN
5,1,20,2,0,5,1,20,8,0,0.019,NaN,NaN,9.98,63,NaN,NaN,NaN,NaN
5,1,20,3,0,5,1,20,9,0,0.011,NaN,4,8.71,68,NaN,NaN,NaN,NaN
5,1,20,4,0,5,1,20,10,0,0.023,NaN,NaN,8.77,66,NaN,NaN,NaN,NaN
5,1,20,5,0,5,1,20,11,0,0.02,NaN,NaN,7.98,70,NaN,NaN,NaN,NaN
5,1,20,6,0,5,1,20,12,0,0.021,NaN,NaN,8.12,70,NaN,NaN,NaN,NaN
5,1,20,7,0,5,1,20,13,0,0.013,NaN,4,7.45,73,NaN,NaN,NaN,NaN
5,1,20,8,0,5,1,20,14,0,0.007,NaN,12,7.52,75,NaN,NaN,NaN,NaN
5,1,20,9,0,5,1,20,15,0,0.009,NaN,15,10.77,65,NaN,NaN,NaN,NaN
5,1,20,10,0,5,1,20,16,0,0.014,NaN,33,13.76,55,NaN,NaN,NaN,NaN
5,1,20,11,0,5,1,20,17,0,0.019,NaN,29,16.4,47,NaN,NaN,NaN,NaN
5,1,20,12,0,5,1,20,18,0,0.029,NaN,31,19.01,38,NaN,NaN,NaN,NaN
5,1,20,13,0,5,1,20,19,0,0.039,NaN,32,21.21,31,NaN,NaN,NaN,NaN
5,1,20,14,0,5,1,20,20,0,0.046,NaN,26,22.67,28,NaN,NaN,NaN,NaN
5,1,20,15,0,5,1,20,21,0,0.05,NaN,20,23.8,24,NaN,NaN,NaN,NaN
5,1,20,16,0,5,1,20,22,0,0.051,NaN,19,24.21,24,NaN,NaN,NaN,NaN
5,1,20,17,0,5,1,20,23,0,0.049,NaN,12,24.3,23,NaN,NaN,NaN,NaN
5,1,20,18,0,6,1,20,0,0,0.042,NaN,14,23.73,23,NaN,NaN,NaN,NaN
5,1,20,19,0,6,1,20,1,0,0.022,NaN,23,21.6,29,NaN,NaN,NaN,NaN
5,1,20,20,0,6,1,20,2,0,0.012,NaN,22,19.04,38,NaN,NaN,NaN,NaN
5,1,20,21,0,6,1,20,3,0,0.006,NaN,65,15.5,52,NaN,NaN,NaN,NaN
5,1,20,22,0,6,1,20,4,0,0.006,NaN,62,13.06,64,NaN,NaN,NaN,NaN
5,1,20,23,0,6,1,20,5,0,0.006,NaN,51,12.52,65,NaN,NaN,NaN,NaN
6,1,20,0,0,6,1,20,6,0,0.011,NaN,40,12.56,61,NaN,NaN,NaN,NaN
6,1,20,1,0,6,1,20,7,0,0.016,NaN,27,11.18,64,NaN,NaN,NaN,NaN
6,1,20,2,0,6,1,20,8,0,0.022,NaN,9,11.15,63,NaN,NaN,NaN,NaN
6,1,20,3,0,6,1,20,9,0,0.018,NaN,9,10.84,64,NaN,NaN,NaN,NaN
6,1,20,4,0,6,1,20,10,0,0.013,NaN,13,10.84,65,NaN,NaN,NaN,NaN
6,1,20,5,0,6,1,20,11,0,0.006,NaN,24,8.96,76,NaN,NaN,NaN,NaN
6,1,20,6,0,6,1,20,12,0,0.006,NaN,37,8.5,75,NaN,NaN,NaN,NaN
6,1,20,7,0,6,1,20,13,0,0.006,NaN,45,7.58,75,NaN,NaN,NaN,NaN
6,1,20,8,0,6,1,20,14,0,0.006,NaN,NaN,7.66,75,NaN,NaN,NaN,NaN
6,1,20,9,0,6,1,20,15,0,0.009,NaN,NaN,12.87,57,NaN,NaN,NaN,NaN
6,1,20,10,0,6,1,20,16,0,0.016,NaN,20,16.43,47,NaN,NaN,NaN,NaN
6,1,20,11,0,6,1,20,17,0,0.028,NaN,22,19.48,38,NaN,NaN,NaN,NaN
6,1,20,12,0,6,1,20,18,0,0.038,NaN,26,22.02,32,NaN,NaN,NaN,NaN
6,1,20,13,0,6,1,20,19,0,0.05,NaN,22,24.28,24,NaN,NaN,NaN,NaN
6,1,20,14,0,6,1,20,20,0,0.06,NaN,22,25.75,21,NaN,NaN,NaN,NaN
6,1,20,15,0,6,1,20,21,0,0.056,NaN,26,26.67,21,NaN,NaN,NaN,NaN
6,1,20,16,0,6,1,20,22,0,0.048,NaN,22,26.99,18,NaN,NaN,NaN,NaN
6,1,20,17,0,6,1,20,23,0,0.05,NaN,20,26.95,21,NaN,NaN,NaN,NaN
6,1,20,18,0,7,1,20,0,0,0.04,NaN,23,26.28,23,NaN,NaN,NaN,NaN
6,1,20,19,0,7,1,20,1,0,0.02,NaN,37,23.2,29,NaN,NaN,NaN,NaN
6,1,20,20,0,7,1,20,2,0,0.011,NaN,34,19.92,40,NaN,NaN,NaN,NaN
6,1,20,21,0,7,1,20,3,0,0.012,NaN,57,16.83,51,NaN,NaN,NaN,NaN
6,1,20,22,0,7,1,20,4,0,0.017,NaN,32,15.95,54,NaN,NaN,NaN,NaN
6,1,20,23,0,7,1,20,5,0,0.006,NaN,45,16.27,51,NaN,NaN,NaN,NaN
7,1,20,0,0,7,1,20,6,0,0.008,NaN,40,16.57,46,NaN,NaN,NaN,NaN
7,1,20,1,0,7,1,20,7,0,0.024,NaN,17,18.39,35,NaN,NaN,NaN,NaN
7,1,20,2,0,7,1,20,8,0,0.027,NaN,16,18.34,33,NaN,NaN,NaN,NaN
7,1,20,3,0,7,1,20,9,0,0.032,NaN,13,18.37,27,NaN,NaN,NaN,NaN
7,1,20,4,0,7,1,20,10,0,0.027,NaN,10,17.23,28,NaN,NaN,NaN,NaN
7,1,20,5,0,7,1,20,11,0,0.034,NaN,10,17.32,28,NaN,NaN,NaN,NaN
7,1,20,6,0,7,1,20,12,0,0.032,NaN,9,16.11,32,NaN,NaN,NaN,NaN
7,1,20,7,0,7,1,20,13,0,0.027,NaN,10,15.27,34,NaN,NaN,NaN,NaN
7,1,20,8,0,7,1,20,14,0,0.02,NaN,14,14.32,36,NaN,NaN,NaN,NaN
7,1,20,9,0,7,1,20,15,0,0.029,NaN,7,14.64,36,NaN,NaN,NaN,NaN
7,1,20,10,0,7,1,20,16,0,0.033,NaN,11,16.03,34,NaN,NaN,NaN,NaN
7,1,20,11,0,7,1,20,17,0,0.036,NaN,13,17.1,33,NaN,NaN,NaN,NaN
7,1,20,12,0,7,1,20,18,0,0.037,NaN,26,18.08,32,NaN,NaN,NaN,NaN
7,1,20,13,0,7,1,20,19,0,0.041,NaN,16,20.02,29,NaN,NaN,NaN,NaN
7,1,20,14,0,7,1,20,20,0,0.043,NaN,15,21.27,28,NaN,NaN,NaN,NaN
7,1,20,15,0,7,1,20,21,0,0.043,NaN,25,20.88,29,NaN,NaN,NaN,NaN
7,1,20,16,0,7,1,20,22,0,0.04,NaN,18,20.77,30,NaN,NaN,NaN,NaN
7,1,20,17,0,7,1,20,23,0,0.039,NaN,11,20.17,33,NaN,NaN,NaN,NaN
7,1,20,18,0,8,1,20,0,0,0.035,NaN,11,18.82,36,NaN,NaN,NaN,NaN
7,1,20,19,0,8,1,20,1,0,0.028,NaN,7,17.04,43,NaN,NaN,NaN,NaN
7,1,20,20,0,8,1,20,2,0,0.024,NaN,5,15.2,54,NaN,NaN,NaN,NaN
7,1,20,21,0,8,1,20,3,0,0.016,NaN,9,14.19,59,NaN,NaN,NaN,NaN
7,1,20,22,0,8,1,20,4,0,0.007,NaN,29,13.32,63,NaN,NaN,NaN,NaN
7,1,20,23,0,8,1,20,5,0,0.015,NaN,26,12.98,66,NaN,NaN,NaN,NaN
8,1,20,0,0,8,1,20,6,0,0.016,NaN,13,13,65,NaN,NaN,NaN,NaN
8,1,20,1,0,8,1,20,7,0,0.02,NaN,15,12.51,67,NaN,NaN,NaN,NaN
8,1,20,2,0,8,1,20,8,0,0.026,NaN,17,12.89,67,NaN,NaN,NaN,NaN
8,1,20,3,0,8,1,20,9,0,0.03,NaN,9,13.4,67,NaN,NaN,NaN,NaN
8,1,20,4,0,8,1,20,10,0,0.021,NaN,10,12.76,69,NaN,NaN,NaN,NaN
8,1,20,5,0,8,1,20,11,0,0.018,NaN,20,11.78,72,NaN,NaN,NaN,NaN
8,1,20,6,0,8,1,20,12,0,0.022,NaN,4,11.8,73,NaN,NaN,NaN,NaN
8,1,20,7,0,8,1,20,13,0,0.016,NaN,13,11.96,75,NaN,NaN,NaN,NaN
8,1,20,8,0,8,1,20,14,0,0.012,NaN,19,12.16,75,NaN,NaN,NaN,NaN
8,1,20,9,0,8,1,20,15,0,0.019,NaN,14,12.07,76,NaN,NaN,NaN,NaN
8,1,20,10,0,8,1,20,16,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1,20,11,0,8,1,20,17,0,0.024,NaN,NaN,14.58,68,NaN,NaN,NaN,NaN
8,1,20,12,0,8,1,20,18,0,0.03,NaN,65,16.27,65,NaN,NaN,NaN,NaN
8,1,20,13,0,8,1,20,19,0,0.032,NaN,24,17.48,65,NaN,NaN,NaN,NaN
8,1,20,14,0,8,1,20,20,0,0.033,NaN,21,18.77,60,NaN,NaN,NaN,NaN
8,1,20,15,0,8,1,20,21,0,0.031,NaN,30,18.75,63,NaN,NaN,NaN,NaN
8,1,20,16,0,8,1,20,22,0,0.031,NaN,12,20.32,59,NaN,NaN,NaN,NaN
8,1,20,17,0,8,1,20,23,0,0.034,NaN,23,20.95,57,NaN,NaN,NaN,NaN
8,1,20,18,0,9,1,20,0,0,0.02,NaN,28,19.89,61,NaN,NaN,NaN,NaN
8,1,20,19,0,9,1,20,1,0,0.01,NaN,27,19.03,62,NaN,NaN,NaN,NaN
8,1,20,20,0,9,1,20,2,0,0.006,NaN,27,18.28,66,NaN,NaN,NaN,NaN
8,1,20,21,0,9,1,20,3,0,0.01,NaN,56,17.91,69,NaN,NaN,NaN,NaN
8,1,20,22,0,9,1,20,4,0,0.012,NaN,25,17.74,73,NaN,NaN,NaN,NaN
8,1,20,23,0,9,1,20,5,0,0.015,NaN,13,17.25,79,NaN,NaN,NaN,NaN
9,1,20,0,0,9,1,20,6,0,0.017,NaN,6,17.32,80,NaN,NaN,NaN,NaN
9,1,20,1,0,9,1,20,7,0,0.017,NaN,8,16.17,84,NaN,NaN,NaN,NaN
9,1,20,2,0,9,1,20,8,0,0.014,NaN,7,15.23,88,NaN,NaN,NaN,NaN
9,1,20,3,0,9,1,20,9,0,0.009,NaN,2,14.24,89,NaN,NaN,NaN,NaN
9,1,20,4,0,9,1,20,10,0,0.009,NaN,8,14.08,90,NaN,NaN,NaN,NaN
9,1,20,5,0,9,1,20,11,0,0.006,NaN,6,13.23,90,NaN,NaN,NaN,NaN
9,1,20,6,0,9,1,20,12,0,0.005,NaN,9,12.56,90,NaN,NaN,NaN,NaN
9,1,20,7,0,9,1,20,13,0,0.006,NaN,16,12.28,91,NaN,NaN,NaN,NaN
9,1,20,8,0,9,1,20,14,0,0.006,NaN,29,12.35,90,NaN,NaN,NaN,NaN
9,1,20,9,0,9,1,20,15,0,0.006,NaN,36,13.3,88,NaN,NaN,NaN,NaN
9,1,20,10,0,9,1,20,16,0,0.007,NaN,38,14.44,84,NaN,NaN,NaN,NaN
9,1,20,11,0,9,1,20,17,0,0.007,NaN,46,15.82,82,NaN,NaN,NaN,NaN
9,1,20,12,0,9,1,20,18,0,0.012,NaN,36,16.72,80,NaN,NaN,NaN,NaN
9,1,20,13,0,9,1,20,19,0,0.019,NaN,27,18.87,71,NaN,NaN,NaN,NaN
9,1,20,14,0,9,1,20,20,0,0.024,NaN,37,19.49,68,NaN,NaN,NaN,NaN
9,1,20,15,0,9,1,20,21,0,0.034,NaN,19,22.57,56,NaN,NaN,NaN,NaN
9,1,20,16,0,9,1,20,22,0,0.035,NaN,42,23.02,53,NaN,NaN,NaN,NaN
9,1,20,17,0,9,1,20,23,0,0.03,NaN,33,23.27,55,NaN,NaN,NaN,NaN
9,1,20,18,0,10,1,20,0,0,0.018,NaN,45,23.15,56,NaN,NaN,NaN,NaN
9,1,20,19,0,10,1,20,1,0,0.007,NaN,72,21.61,63,NaN,NaN,NaN,NaN
9,1,20,20,0,10,1,20,2,0,0.007,NaN,67,20.76,67,NaN,NaN,NaN,NaN
9,1,20,21,0,10,1,20,3,0,0.007,NaN,48,19.6,71,NaN,NaN,NaN,NaN
9,1,20,22,0,10,1,20,4,0,0.006,NaN,83,18.14,77,NaN,NaN,NaN,NaN
9,1,20,23,0,10,1,20,5,0,0.008,NaN,68,18.04,75,NaN,NaN,NaN,NaN
10,1,20,0,0,10,1,20,6,0,0.014,NaN,23,18.82,70,NaN,NaN,NaN,NaN
10,1,20,1,0,10,1,20,7,0,0.016,NaN,24,17.47,75,NaN,NaN,NaN,NaN
10,1,20,2,0,10,1,20,8,0,0.016,NaN,17,15.91,81,NaN,NaN,NaN,NaN
10,1,20,3,0,10,1,20,9,0,0.014,NaN,14,15.46,86,NaN,NaN,NaN,NaN
10,1,20,4,0,10,1,20,10,0,0.018,NaN,35,15.6,87,NaN,NaN,NaN,NaN
10,1,20,5,0,10,1,20,11,0,0.015,NaN,19,15.45,88,NaN,NaN,NaN,NaN
10,1,20,6,0,10,1,20,12,0,0.006,NaN,22,14.19,90,NaN,NaN,NaN,NaN
10,1,20,7,0,10,1,20,13,0,0.01,NaN,20,14.44,92,NaN,NaN,NaN,NaN
10,1,20,8,0,10,1,20,14,0,0.01,NaN,20,14.52,92,NaN,NaN,NaN,NaN
10,1,20,9,0,10,1,20,15,0,0.01,NaN,NaN,15.04,92,NaN,NaN,NaN,NaN
10,1,20,10,0,10,1,20,16,0,0.011,NaN,35,16.49,89,NaN,NaN,NaN,NaN
10,1,20,11,0,10,1,20,17,0,0.017,NaN,34,18.06,81,NaN,NaN,NaN,NaN
10,1,20,12,0,10,1,20,18,0,0.02,NaN,26,20.77,69,NaN,NaN,NaN,NaN
10,1,20,13,0,10,1,20,19,0,0.025,NaN,45,22.57,61,NaN,NaN,NaN,NaN
10,1,20,14,0,10,1,20,20,0,0.027,NaN,48,23.07,59,NaN,NaN,NaN,NaN
10,1,20,15,0,10,1,20,21,0,0.035,NaN,40,25.94,51,NaN,NaN,NaN,NaN
10,1,20,16,0,10,1,20,22,0,0.038,NaN,41,27.19,48,NaN,NaN,NaN,NaN
10,1,20,17,0,10,1,20,23,0,0.032,NaN,33,28.75,40,NaN,NaN,NaN,NaN
10,1,20,18,0,11,1,20,0,0,0.025,NaN,33,27.71,42,NaN,NaN,NaN,NaN
10,1,20,19,0,11,1,20,1,0,0.021,NaN,23,25.84,46,NaN,NaN,NaN,NaN
10,1,20,20,0,11,1,20,2,0,0.017,NaN,20,24.01,52,NaN,NaN,NaN,NaN
10,1,20,21,0,11,1,20,3,0,0.007,NaN,38,20.92,64,NaN,NaN,NaN,NaN
10,1,20,22,0,11,1,20,4,0,0.023,NaN,23,21.32,62,NaN,NaN,NaN,NaN
10,1,20,23,0,11,1,20,5,0,0.03,NaN,5,22.5,36,NaN,NaN,NaN,NaN
11,1,20,0,0,11,1,20,6,0,0.032,NaN,20,21.34,33,NaN,NaN,NaN,NaN
11,1,20,1,0,11,1,20,7,0,0.026,NaN,11,19.34,29,NaN,NaN,NaN,NaN
11,1,20,2,0,11,1,20,8,0,0.028,NaN,10,17.72,28,NaN,NaN,NaN,NaN
11,1,20,3,0,11,1,20,9,0,0.028,NaN,3,17,28,NaN,NaN,NaN,NaN
11,1,20,4,0,11,1,20,10,0,0.029,NaN,8,15.89,30,NaN,NaN,NaN,NaN
11,1,20,5,0,11,1,20,11,0,0.032,NaN,3,15.28,30,NaN,NaN,NaN,NaN
11,1,20,6,0,11,1,20,12,0,0.03,NaN,2,14.7,30,NaN,NaN,NaN,NaN
11,1,20,7,0,11,1,20,13,0,0.033,NaN,2,14.62,29,NaN,NaN,NaN,NaN
11,1,20,8,0,11,1,20,14,0,0.029,NaN,6,13.57,32,NaN,NaN,NaN,NaN
11,1,20,9,0,11,1,20,15,0,0.033,NaN,NaN,15.24,29,NaN,NaN,NaN,NaN
11,1,20,10,0,11,1,20,16,0,0.036,NaN,10,17.82,24,NaN,NaN,NaN,NaN
11,1,20,11,0,11,1,20,17,0,0.038,NaN,14,19.37,20,NaN,NaN,NaN,NaN
11,1,20,12,0,11,1,20,18,0,0.04,NaN,13,20.7,18,NaN,NaN,NaN,NaN
11,1,20,13,0,11,1,20,19,0,0.042,NaN,13,22.08,15,NaN,NaN,NaN,NaN
11,1,20,14,0,11,1,20,20,0,0.043,NaN,NaN,23.26,14,NaN,NaN,NaN,NaN
11,1,20,15,0,11,1,20,21,0,0.045,NaN,12,24.32,13,NaN,NaN,NaN,NaN
11,1,20,16,0,11,1,20,22,0,0.048,NaN,16,24.33,13,NaN,NaN,NaN,NaN
11,1,20,17,0,11,1,20,23,0,0.044,NaN,15,23.98,14,NaN,NaN,NaN,NaN
11,1,20,18,0,12,1,20,0,0,0.034,NaN,20,21.89,18,NaN,NaN,NaN,NaN
11,1,20,19,0,12,1,20,1,0,0.031,NaN,8,19.47,21,NaN,NaN,NaN,NaN
