# date,PM 2.5 (ug,m3),O3 (ppm),Temperatura,Humedad rel.,Dirección viento,Velocidad viento
03,01,20,11,00,4,0.025,16,25,34,1.4
03,01,20,12,00,2,0.034,17.9,19,64,1.8
03,01,20,13,00,5,0.047,19.5,12,61,1.9
03,01,20,14,00,3,0.053,20,12,16,1.4
03,01,20,15,00,5,0.056,20.8,13,347,1.9
03,01,20,16,00,NaN,0.052,20.7,20,294,3.7
03,01,20,17,00,8,0.045,19.8,26,284,3.2
03,01,20,18,00,13,0.039,18.7,31,31,1.9
03,01,20,19,00,11,0.031,16.5,38,70,1.4
03,01,20,20,00,20,0.025,15.3,42,109,1.3
03,01,20,21,00,19,0.014,14.4,46,142,0.8
03,01,20,22,00,19,0.01,13.4,51,106,1
03,01,20,23,00,20,0.01,12.4,54,180,1.4
04,01,20,0,00,22,0.005,11.8,46,199,0.9
04,01,20,1,00,26,0.001,11.3,52,207,0.7
04,01,20,2,00,26,0.001,11.1,50,276,0.7
04,01,20,3,00,24,0.001,10.6,56,144,1.1
04,01,20,4,00,28,0.001,10,57,216,1.1
04,01,20,5,00,22,0.001,9.2,52,328,1
04,01,20,6,00,20,0.001,9.2,48,277,1.2
04,01,20,7,00,22,0.001,8.1,50,187,0.9
04,01,20,8,00,21,0.001,7.4,56,353,1.4
04,01,20,9,00,21,0.011,8.2,59,18,1.4
04,01,20,10,00,19,0.017,9.7,55,82,1.3
04,01,20,11,00,22,0.025,11.6,53,47,1.7
04,01,20,12,00,29,0.037,13.1,48,16,2.1
04,01,20,13,00,35,0.046,14.1,45,45,2
04,01,20,14,00,39,0.058,15.3,41,51,2
04,01,20,15,00,48,0.071,16.5,38,37,1.9
04,01,20,16,00,50,0.08,17,37,9,2.5
04,01,20,17,00,49,0.064,16.5,39,352,3.1
04,01,20,18,00,46,0.048,15.3,44,347,3.5
04,01,20,19,00,35,0.034,13.6,48,354,3.8
04,01,20,20,00,20,0.031,12.3,50,335,2.5
04,01,20,21,00,14,0.027,11.5,49,327,2.1
04,01,20,22,00,3,0.024,10.9,48,297,1.5
04,01,20,23,00,14,0.018,10.3,49,288,1.7
05,01,20,0,00,9,0.02,9.6,54,296,1.5
05,01,20,1,00,15,0.015,8.8,58,226,1.4
05,01,20,2,00,9,0.012,8.2,61,216,1
05,01,20,3,00,16,0.013,7.7,63,199,0.6
05,01,20,4,00,11,0.014,7.1,65,174,0.7
05,01,20,5,00,17,0.005,6.7,62,331,0.9
05,01,20,6,00,17,0.001,6.2,65,109,0.8
05,01,20,7,00,19,0.001,5.7,69,156,0.7
05,01,20,8,00,22,0.002,5.4,69,160,0.8
05,01,20,9,00,21,0.01,6.6,61,66,0.7
05,01,20,10,00,18,0.018,8.4,54,84,1.2
05,01,20,11,00,16,0.03,10.7,44,62,1.1
05,01,20,12,00,21,0.045,13.6,32,50,1.6
05,01,20,13,00,24,0.061,16.1,19,57,1.7
05,01,20,14,00,19,0.069,17.8,14,17,1.9
05,01,20,15,00,9,0.074,19,12,16,2.2
05,01,20,16,00,1,0.077,19.7,11,27,1.6
05,01,20,17,00,9,0.079,19.9,12,61,1.4
05,01,20,18,00,12,0.074,19.7,11,352,1
05,01,20,19,00,23,0.053,16.4,24,217,2.5
05,01,20,20,00,25,0.043,14.5,27,221,2.5
05,01,20,21,00,23,0.026,13.8,25,209,2.2
05,01,20,22,00,22,0.001,12.4,29,215,1.6
05,01,20,23,00,28,0.001,11.7,29,219,2.1
06,01,20,0,00,25,0.003,10.9,31,215,1.5
06,01,20,1,00,23,0.002,10.2,36,206,1.4
